Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Hank Whitney,,1.8,1.1,0.5,NA,NA
Keith Lee,90.4,1.9,1.1,0.8,NA,NA
Billy Schaeffer,86.4,1.9,0.8,0.5,NA,NA
Tellis Frank,84.2,2,1.1,0.6,0.3,0.1
Kenny Battle,83.9,1.9,1.3,0.3,0.1,NA
Joe Kopicki,83.6,1.9,0.9,0.7,NA,NA
Fred Saunders,80.5,1.3,1.2,0.5,0.1,NA
Jan Veselý,79.8,1.7,1.6,0.7,NA,NA
Bob Portman,79.6,1.9,1.2,0.8,0.5,NA
Rudy Macklin,79.5,1.8,1.4,0.1,NA,NA
Mickaël Gelabale,76.9,1.5,1.3,0.2,NA,NA
