Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Eric Riley,,0.7,0.6,0.5,0.4,0.3
Steve Scheffler,90.4,0.7,0.6,0.6,0.4,0.3
Todd Fuller,69.3,0.7,0.7,0.6,0.2,0
Mamadou N'Diaye,62.8,0.8,0.6,0.3,0.2,0
Roger Brown,59.3,0.9,0.7,0.4,0.2,0.1
Connie Dierking,57.8,1.4,0.7,0.5,0.5,0.1
Dave Newmark,56.2,0.8,0.7,0.4,NA,NA
Hamed Haddadi,56.0,0.6,0.6,0.4,0.1,0
Eric Fernsten,55.4,1.2,0.5,0.5,0.2,0
Steve Hayes,51.3,1.2,0.9,0.3,0.3,0.2
Bill Wennington,46.1,1.3,1.2,0.9,0.5,0.4
