Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Christian,,2.4,1.9,0.9,0.5,0
Predrag Drobnjak,89.6,2.4,1.6,1,0.7,NA
Calvin Booth,89.0,2.2,2.1,0.8,0.5,0.1
Ekpe Udoh,84.6,2.7,2.1,0.7,0.3,0
George Nostrand,83.0,2,2,1.3,0.4,NA
Ed Kalafat,80.9,2.6,2.1,0.7,NA,NA
Charlie Tyra,80.9,2.3,1.5,1.1,0.2,-0.2
Jeff Withey,79.3,2.3,1.8,1.8,0.8,0
Mark West,78.3,3.1,1.9,1.1,0.9,-0.1
Jahlil Okafor,77.9,2.2,1.2,1.2,0.6,NA
Hasheem Thabeet,77.4,2.2,2,0.3,0.3,0
