Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Bob Christian,,2.4,1.9,0.9,0.5,0
Predrag Drobnjak,89.6,2.4,1.6,1,0.7,NA
George Nostrand,83.0,2,2,1.3,0.4,NA
Ed Kalafat,80.9,2.6,2.1,0.7,NA,NA
Charlie Tyra,80.9,2.3,1.5,1.1,0.2,-0.2
Jeff Withey,79.3,2.3,1.8,1.8,0.8,0
Jahlil Okafor,77.9,2.2,1.2,1.2,0.6,NA
Joffrey Lauvergne,77.4,2.3,1.5,1.3,0.1,NA
Hasheem Thabeet,77.4,2.2,2,0.3,0.3,0
Greg Stiemsma,77.2,2.7,1.7,1.5,0.1,NA
Luther Rackley,75.4,1.9,1.8,1.3,0.8,0.1
