Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Sly Williams,,5.1,4.2,3.8,0.5,-0.1,-0.1,-0.2
Leo Barnhorst,86.8,4.7,4.6,3.6,1.3,NA,NA,NA
George Stone,84.7,4.6,4.6,4.5,0.2,NA,NA,NA
Dino Rađa,84.1,5.9,4.5,4,-0.2,NA,NA,NA
Kristaps Porziņģis,83.5,4.5,4.4,3.2,NA,NA,NA,NA
Chuck Gilmur,81.9,4.6,4.5,4.3,1.7,-0.1,NA,NA
Jared Sullinger,80.7,4.8,4,3.9,2.7,-0.1,NA,NA
Bob Harris,80.2,5,4.3,3.4,1.9,1,NA,NA
Jamario Moon,78.2,5.7,4.9,2.9,1.1,-0.3,NA,NA
Michael Brooks,78.1,4.9,4.7,4.5,2.4,0,0,NA
Walt Budko,77.8,5.6,4,2.7,1.5,NA,NA,NA
