Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Barney Cable,,3.3,1.6,0.7,0.4,0.3,0.1,NA,NA,NA,NA
Dave Lattin,87.0,3.2,2,0.6,0.4,0.2,NA,NA,NA,NA,NA
Stanislav Medvedenko,86.9,3,1.8,0.5,0.4,0.2,0.1,0,NA,NA,NA
Lorenzo Williams,86.2,3.1,1.7,1.1,0.4,0.4,0.3,0.3,NA,NA,NA
Darius Miller,85.3,3,1.6,0.8,0.5,-0.1,NA,NA,NA,NA,NA
Reggie Williams,82.2,3.7,1.7,0.3,0.3,0.2,0.2,0,NA,NA,NA
Lou Amundson,81.2,2.9,1.8,1,0.6,0.3,0.1,0.1,0.1,0.1,-0.1
Lee Nailon,80.1,3.5,2.2,0.9,0.7,0.5,0.3,NA,NA,NA,NA
DerMarr Johnson,80.0,3.2,1.7,1.3,0.4,0.1,0,-0.3,NA,NA,NA
Darko Miličić,79.5,3.3,1.9,1.2,0.7,0.2,0.2,0,-0.1,-0.2,-0.2
John Trapp,78.3,3.3,1.2,1.2,0.6,0,NA,NA,NA,NA,NA
