Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Barney Cable,,3.3,1.6,0.7,0.4,0.3,0.1
Lorenzo Williams,88.8,3.1,1.7,1.1,0.4,0.4,0.3
Dave Lattin,87.0,3.2,2,0.6,0.4,0.2,NA
Terry Davis,85.3,3.1,2,0.5,0.5,0.4,-0.1
Darius Miller,85.3,3,1.6,0.8,0.5,-0.1,NA
Stanislav Medvedenko,84.9,3,1.8,0.5,0.4,0.1,0
Reggie Williams,82.0,3.7,1.7,0.3,0.3,0.2,0
Lou Amundson,80.3,2.9,1.8,1,0.6,0.1,0.1
Lee Nailon,80.1,3.5,2.2,0.9,0.7,0.5,0.3
Walter McCarty,80.0,2.9,1.8,0.7,0.5,0,-0.2
DerMarr Johnson,78.5,3.2,1.7,1.3,0.4,0,-0.3
