,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,22,PHI,NBA,,6,,,,,,4,4,,,,,,,,,12
1967-68,23,PHI,NBA,,8,18,,,,,4,5,,,7,6,,,,5,20
1969-70,25,NYA,ABA,,14,,2,,,,9,12,,,,,,,,,32
1970-71,26,NYA,ABA,,14,,1,,,,10,12,,,,,,,,,32
1971-72,27,NYA,ABA,,17,,1,,,,14,15,,,,,,,,,36
1972-73,28,NYA,ABA,,15,,1,,,,10,10,,,,,,,,,36
1973-74,29,NYA,ABA,,9,,1,,,,5,6,,,,,,,,,23
1974-75,30,NYA,ABA,,10,,2,,,,5,7,,,,,,,,,23
1975-76,31,NYA,ABA,,9,,1,,,,7,10,,,,,,,,,23
Career,,,TOT,,17,,,,,,14,15,,,,,,,,,36
,,,NBA,,8,,,,,,4,5,,,,,,,,,20
,,,ABA,,17,,2,,,,14,15,,,,,,,,,36
,,,,,,,,,,,,,,,,,,,,,
7 Seasons,,NYA,ABA,,17,,2,,,,14,15,,,,,,,,,36
2 Seasons,,PHI,NBA,,8,,,,,,4,5,,,,,,,,,20
