Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bill Melchionni,,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1
Leandro Barbosa,88.2,8.2,5.5,5,3.8,1.9,1.8,1.7,1.5,1.1
Brevin Knight,87.5,8.4,4.9,4.5,2.8,2.5,1.7,1.6,1.4,0.2
Flynn Robinson,87.5,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA
Stu Lantz,86.1,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA
Mo Williams,85.5,9.8,6.7,4.5,3.2,2.8,2.5,2.2,1,0.2
Scott Skiles,84.4,8,7,4.5,4.4,3.2,2,1.3,0.3,-0.2
Ben Gordon,84.3,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,-0.6
Doug Christie,83.3,8.7,7,5.1,4.2,4,1.4,1.4,0.1,-0.3
Voshon Lenard,83.0,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3
Ronnie Brewer,82.5,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA
