Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Bill Melchionni,,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
Flynn Robinson,87.5,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA
Stu Lantz,86.1,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA,NA
Scott Skiles,84.0,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA
Ben Gordon,83.0,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6
Ronnie Brewer,82.5,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA
Voshon Lenard,82.5,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1
Anthony Parker,82.2,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA,NA
Andrew Toney,82.0,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA,NA
Johnny Moore,81.7,7.2,6.6,5.8,3.8,3.2,2.1,1.2,0.3,-0.1,NA,NA
Martell Webster,81.7,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0,NA
