Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Tom Van Arsdale,,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1
John Johnson,91.6,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2
Walt Williams,91.2,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA
Danny Ferry,90.2,5.6,5.5,4.1,3.9,3.6,2.7,2.3,1.7,1.7,1.3,1,1
Antoine Carr,90.1,5.5,5.4,4.3,4,3.8,3.5,3.3,2.2,2.1,2.1,1.2,0.7
Ray Scott,88.7,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA
Chuck Person,88.2,5.5,5.4,5.4,4.6,3.9,3.6,3.3,3,2.1,1.2,0.9,0
Rod Higgins,88.1,5.9,5.7,5.3,5,3.8,3.7,2.5,2,1.4,1.3,1,0.1
Stephen Jackson,88.1,5,4.8,4.6,4.4,4.4,4.1,3.1,2.2,1.9,0.9,0.6,-0.1
Sam Mitchell,88.1,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.6
Kurt Rambis,87.5,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.5,0.6
