Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,30,PHI,NBA,SF,78,NA,3041,8.9,20.9,0.428,4.3,5.1,0.851,1.3,4.4,5.7,2.9,0.9,0,4.4,22.2,NA,NA,102
1974-75,31,TOT,NBA,SF,82,NA,2843,9.4,22.1,0.428,5.1,6.8,0.759,1.2,3.2,4.4,3.6,1.4,0,4.1,24,NA,NA,102
1974-75,31,PHI,NBA,SF,9,NA,273,8.3,19.7,0.422,4.8,7,0.683,1.2,3.7,4.9,2.7,2.2,0,4.4,21.4,NA,NA,99
1974-75,31,ATL,NBA,SF,73,NA,2570,9.6,22.3,0.429,5.2,6.7,0.768,1.2,3.1,4.4,3.6,1.4,0.1,4.1,24.3,NA,NA,103
1975-76,32,ATL,NBA,SF,75,NA,2026,7.9,18,0.441,2.9,3.8,0.759,0.8,3.5,4.3,3.3,1.3,0.2,4.6,18.7,NA,NA,104
1976-77,33,PHO,NBA,SF,77,NA,1425,5.4,12.5,0.433,3.2,4.6,0.703,1.5,4.3,5.8,2.1,0.6,0.1,5.1,14,NA,NA,101
Career,NA,,NBA,,312,NA,9335,8.3,19.3,0.431,4.1,5.2,0.782,1.2,3.8,5,3.1,1.1,0.1,4.5,20.8,NA,NA,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,ATL,NBA,,148,NA,4596,8.8,20.4,0.433,4.2,5.5,0.765,1,3.3,4.3,3.5,1.3,0.1,4.3,21.9,NA,NA,103
2 seasons,NA,PHI,NBA,,87,NA,3314,8.9,20.8,0.428,4.4,5.2,0.834,1.3,4.4,5.7,2.9,1,0,4.4,22.2,NA,NA,102
1 season,NA,PHO,NBA,,77,NA,1425,5.4,12.5,0.433,3.2,4.6,0.703,1.5,4.3,5.8,2.1,0.6,0.1,5.1,14,NA,NA,101
