Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1969-70,26,CIN,NBA,SF,1,0,8:00,2,7,0.286,1,1,1,NA,0,1,NA,NA,2,5
1970-71,27,CIN,NBA,SF,1,0,11:00,4,8,0.5,0,2,0,NA,2,1,NA,NA,1,8
1971-72,28,CIN,NBA,SF,1,0,4:00,0,1,0,0,0,NA,NA,1,0,NA,NA,0,0
Career,NA,,NBA,,3,0,23,6,16,0.375,1,3,0.333,NA,3,2,NA,NA,3,13
