Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Jeff Wilkins,,2.4,2.3,2.3,1,0.5,0.3
Will Perdue,84.3,2.5,2.5,2.3,0.5,0.2,-0.1
Steven Hunter,84.0,2.8,2.6,2.5,1,0.9,0.6
Meyers Leonard,81.4,2.8,2.4,2.2,1.4,1.1,0.6
Jake Voskuhl,80.5,3.3,2.7,2.5,1,0.6,0
Chris Dudley,79.7,3.4,2.2,2.2,1,0.2,0.1
Victor Alexander,78.4,3,2.5,2.3,1.1,-0.1,NA
Joe Kleine,78.0,3.1,2.6,2.3,1.2,1,0.9
Michael Doleac,77.8,3,2.2,1.7,1.5,0.3,0.3
Ekpe Udoh,75.9,3.2,2.7,2.1,0.7,0.3,0
Jeff Withey,75.6,2.3,1.8,1.8,0.8,0,NA
