Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Jeff Wilkins,,2.4,2.3,2.3,1,0.5,0.3,NA,NA
Steven Hunter,82.8,2.8,2.6,2.5,1,0.9,0.6,0.1,0.1
Victor Alexander,78.4,3,2.5,2.3,1.1,-0.1,NA,NA,NA
Ekpe Udoh,77.9,3.2,2.7,2.1,1.6,0.7,0.3,0,NA
Miles Plumlee,76.3,4,2.6,2.2,0.9,0.5,0.5,0,NA
Jeff Withey,75.6,2.3,1.8,1.8,0.8,0,NA,NA,NA
Gene Wiley,75.0,2.8,2.4,1.8,1.3,-0.1,NA,NA,NA
Hub Reed,74.1,2.8,2,1.7,1.3,1,0.6,0,NA
Jim McIlvaine,73.7,3,1.9,1.8,1.5,0.8,0.3,0.1,NA
Stanley Roberts,72.2,3.2,2.1,1.8,0.7,0.5,0,-0.1,-0.1
Željko Rebrača,71.8,3.3,2.4,1.3,0.7,0.5,NA,NA,NA
