Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Willie Jones,,1.3,0,-0.1,-0.1,-0.2
Nate Wolters,51.8,1.2,-0.1,-0.2,NA,NA
Orlando Johnson,49.5,1.5,0.1,-0.2,NA,NA
Greg Grant,46.1,1.4,0.2,0,0,-0.1
Charles Smith,42.1,1.1,0,-0.2,NA,NA
Andre Turner,37.9,1.9,0,-0.1,-0.1,-0.3
Bobby Wilson,37.7,1.6,0.2,0,-0.1,NA
Randy Livingston,37.4,1.5,0.3,0.1,0,0
Ray Corley,37.2,1.2,0,-0.4,NA,NA
Tony Dumas,34.6,1.6,0,0,-0.3,NA
Kyle Weaver,33.5,1.2,0.3,0,NA,NA
