Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Greg Stiemsma,,2.7,1.7,1.5,0.1
Festus Ezeli,97.0,2.7,1.7,1.5,NA
Joffrey Lauvergne,85.4,2.3,1.5,1.3,0.1
Michael Doleac,84.3,3,2.2,1.5,0.3
Tom LaGarde,83.7,2.7,2.2,1.7,0.4
Marc Jackson,82.6,2.6,2,1.3,0.6
Vitaly Potapenko,82.3,2.5,2.2,1.5,0.5
Hub Reed,81.9,2.8,1.7,1.3,1
Reggie Harding,79.1,3.1,2.6,1.6,0
Ekpe Udoh,78.7,2.7,2.1,0.7,0
Jim McIlvaine,78.2,3,1.9,1.8,0.8
