Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Greg Stiemsma,,2.7,1.7,1.5,0.1,NA,NA
Festus Ezeli,97.0,2.7,1.7,1.5,NA,NA,NA
Joffrey Lauvergne,85.4,2.3,1.5,1.3,0.1,NA,NA
Reggie Harding,79.1,3.1,2.6,1.6,0,NA,NA
Bob Christian,77.2,2.4,1.9,0.9,0.5,0,NA
Jeff Withey,76.5,2.3,1.8,1.8,0.8,0,NA
Tarik Black,76.2,3.1,2.4,1.5,0.7,NA,NA
Tom LaGarde,76.1,2.7,2.2,1.7,0.4,0,-0.5
Charlie Tyra,76.1,2.3,1.5,1.1,0.2,-0.2,NA
Ed Kalafat,75.7,2.6,2.1,0.7,NA,NA,NA
Jack Toomay,75.0,3.6,1.6,1.1,NA,NA,NA
