Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Anthony Cook,,0.5,0.4,0.1,0.1,NA,NA
Gene James,80.8,0.5,0.3,0.1,NA,NA,NA
Alex Poythress,80.3,0.5,0.3,0.1,NA,NA,NA
Roderick McDonald,78.3,0.5,0.5,0.2,NA,NA,NA
Josh Davis,75.4,0.5,0.3,0,0,NA,NA
Ron Grandison,74.0,0.6,0.5,0,0,NA,NA
Jamal Sampson,70.8,0.5,0.4,0.2,0.2,0,NA
Mike Harris,69.7,0.5,0.5,0,-0.1,NA,NA
Adrian Caldwell,67.2,0.4,0.3,0.2,0.1,0,0
Mark Randall,66.8,0.5,0.3,0.2,0,NA,NA
Scott Roth,65.6,0.7,0.3,0.1,NA,NA,NA
