Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,,OWS,DWS,WS,WS/48
1946-47,28,STB,BAA,SG,22,NA,NA,0.352,0.134,NA,NA,NA,NA,NA,1.7,1.2,3,NA
1947-48,29,STB,BAA,SG,48,NA,NA,0.355,0.218,NA,NA,NA,NA,NA,2.9,1.7,4.5,NA
1948-49,30,STB,BAA,SG,59,NA,NA,0.427,0.297,NA,NA,NA,NA,NA,5.4,-0.1,5.3,NA
1949-50,31,STB,NBA,SG,61,NA,NA,0.43,0.377,NA,NA,NA,NA,NA,4.3,0.8,5,NA
1950-51,32,TOT,NBA,SG,60,NA,NA,0.468,0.403,NA,NA,NA,NA,NA,4.3,1.3,5.6,NA
1950-51,32,SYR,NBA,SG,16,NA,NA,0.437,0.458,NA,NA,NA,NA,NA,0.5,0.3,0.7,NA
1950-51,32,BLB,NBA,SG,44,NA,NA,0.475,0.391,NA,NA,NA,NA,NA,3.8,1,4.9,NA
1951-52,33,BLB,NBA,SG,11,139,3.1,0.284,0.27,NA,NA,NA,NA,NA,-0.6,0.1,-0.6,-0.195
Career,NA,,TOT,,261,139,3.1,0.413,0.304,NA,NA,NA,NA,NA,17.9,5,22.9,-0.195
,NA,,NBA,,132,139,3.1,0.441,0.384,NA,NA,NA,NA,NA,7.9,2.1,10.1,-0.195
,NA,,BAA,,129,NA,NA,0.39,0.241,NA,NA,NA,NA,NA,9.9,2.8,12.8,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STB,BAA,,190,NA,NA,0.402,0.281,NA,NA,NA,NA,NA,14.2,3.6,17.8,NA
2 seasons,NA,BLB,NBA,,55,139,3.1,0.456,0.378,NA,NA,NA,NA,NA,3.2,1.1,4.3,-0.195
1 season,NA,SYR,NBA,,16,NA,NA,0.437,0.458,NA,NA,NA,NA,NA,0.5,0.3,0.7,NA
