Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Belus Smawley,,5.6,5.3,5,4.5,3,-0.6
Willie Anderson,90.2,6.5,5.6,4.9,4.8,3.3,-0.1
Michael Cooper,88.2,6.5,5.2,5,5,4,0
Larry Brown,87.8,6.6,5.8,5.1,5,2.4,NA
Geoff Petrie,87.6,6.2,5.4,5.3,4.6,4.5,0.1
Rory Sparrow,85.8,5.6,4.3,4.2,4.2,3.7,-0.1
Kentavious Caldwell-Pope,85.6,5.3,5.3,4.5,4,2.8,1.8
Jimmy Walker,85.1,6.2,6.1,5.5,5.1,3.6,0.4
David Wesley,84.6,6.3,6.1,5.8,4.8,2.6,0.6
Mario Chalmers,84.2,5.2,5.2,4.8,4.3,2.9,2.7
Austin Carr,83.7,5.9,5.4,5.3,2.9,2.6,1
