Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1946-47,28,STB,BAA,SG,22,NA,NA,NA,NA,0.321,NA,NA,0.766,NA,NA,NA,NA
1947-48,29,STB,BAA,SG,48,NA,NA,NA,NA,0.308,NA,NA,0.74,NA,NA,NA,NA
1948-49,30,STB,BAA,SG,59,NA,NA,NA,NA,0.372,NA,NA,0.747,NA,NA,NA,NA
1949-50,31,STB,NBA,SG,61,NA,NA,NA,NA,0.345,NA,NA,0.828,NA,NA,NA,NA
1950-51,32,TOT,NBA,SG,60,NA,NA,NA,NA,0.38,NA,NA,0.85,NA,NA,NA,NA
1950-51,32,SYR,NBA,SG,16,NA,NA,NA,NA,0.339,NA,NA,0.815,NA,NA,NA,NA
1950-51,32,BLB,NBA,SG,44,NA,NA,NA,NA,0.389,NA,NA,0.859,NA,NA,NA,NA
1951-52,33,BLB,NBA,SG,11,NA,139,3.4,16.3,0.206,3.6,4.4,0.824,4.7,2.1,2.3,10.4
Career,NA,,TOT,,261,NA,139,3.4,16.3,0.347,3.6,4.4,0.797,4.7,2.1,2.3,10.4
,NA,,NBA,,132,NA,139,3.4,16.3,0.354,3.6,4.4,0.838,4.7,2.1,2.3,10.4
,NA,,BAA,,129,NA,NA,NA,NA,0.341,NA,NA,0.747,NA,NA,NA,NA
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,STB,BAA,,190,NA,NA,NA,NA,0.342,NA,NA,0.779,NA,NA,NA,NA
2 seasons,NA,BLB,NBA,,55,NA,139,3.4,16.3,0.37,3.6,4.4,0.857,4.7,2.1,2.3,10.4
1 season,NA,SYR,NBA,,16,NA,NA,NA,NA,0.339,NA,NA,0.815,NA,NA,NA,NA
