Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Vladimir Radmanović,,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0
Fred Roberts,92.8,4.2,3.9,3.5,3,2.6,2.2,2,1.9,1.8,0.6,0.4,0.2
Keith Erickson,91.7,4.1,3.8,3.3,2.9,2.8,2.4,2.1,1.9,1.4,0.5,0.2,-0.2
Jonas Jerebko,89.6,4.4,3.5,3.4,3.3,3.3,2.4,2.1,2,1.4,NA,NA,NA
Scott Williams,88.3,3.9,3.9,3.4,3.1,2.6,2.3,1.7,1.7,0.9,0.4,0.3,-0.1
Ollie Johnson,87.7,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA
Dwight Jones,87.4,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA
Othella Harrington,86.5,3.8,3.6,3,3,2.5,2.2,1.7,1.4,1.1,0.8,0,0
Allan Bristow,86.4,4.4,4.3,3.5,2.8,2.7,2.5,1.9,1.9,0.5,0.2,NA,NA
John Tresvant,85.7,4.1,3.8,3.5,3.3,2.8,2.7,2.6,1.5,0.1,NA,NA,NA
Wilson Chandler,85.5,3.9,3.6,3.5,3.3,3.1,3.1,3.1,2.7,1.5,0.5,-0.1,NA
