Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
Andrew Lang,,5.7,4.9,3.7,3,2.9,2.3,1.9,1.7,1.4,0.7,0.4,-0.1,NA,NA,NA
Mel Counts,88.3,5,4.3,4.2,2.9,2.7,2,1.9,1.5,1.5,1,0.4,0.3,NA,NA,NA
Otto Moore,86.9,5,4.7,3.5,2.9,2.4,2.3,1.8,1.3,0.9,NA,NA,NA,NA,NA,NA
Benoit Benjamin,86.7,5.4,5.1,4.1,4,3,2.3,2.2,2.2,2,1.1,0.9,0.4,0,0,-0.1
Coby Dietrick,86.0,4.5,4.4,4.1,3,2.9,2.5,2.3,2.1,1.7,0.3,0.1,0,0,NA,NA
Greg Ostertag,85.2,5.9,5,4.2,3.8,3.8,3.4,2.2,2.1,1.4,1.3,0.7,NA,NA,NA,NA
Joe Meriweather,84.2,4.8,3.8,3.8,2.9,2.6,2.6,2.3,2.2,1.8,0.8,NA,NA,NA,NA,NA
Matt Geiger,84.0,5.9,4.7,4.5,4.3,2.7,2.6,1.9,1.2,0.7,-0.1,NA,NA,NA,NA,NA
JaVale McGee,83.8,5.9,5.3,4.9,4.1,3.5,2.7,2.1,2,1.1,0.4,-0.1,NA,NA,NA,NA
Marreese Speights,83.7,4.2,4,3.8,2.8,2.7,2.1,2.1,1.8,1.7,0.6,NA,NA,NA,NA,NA
Kent Benson,82.7,6.4,5.2,4.7,3.3,3.2,3.2,3.1,1.7,1.7,1.1,0,NA,NA,NA,NA
