Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Rumeal Robinson,,2.4,1.9,1,0.5,-0.1,-0.6,NA
Hollis Thompson,81.0,2.6,2,1.2,0.7,NA,NA,NA
Jordan Crawford,79.7,2.8,1.9,1.1,0.9,0.2,-0.6,NA
Travis Diener,79.7,2.5,1.9,0.7,0.6,0,NA,NA
Bo Lamar,79.0,2.5,1.5,1,0.5,NA,NA,NA
Johnny McCarthy,77.3,2.6,1.9,0.5,0.2,-0.1,-0.4,NA
Tim Frazier,77.1,2.4,2,1.4,1,-0.1,NA,NA
James Robinson,76.7,2.3,1.9,1.2,0.2,0.2,0,-0.1
Tom Garrick,75.8,2.5,1.8,1.4,0.2,NA,NA,NA
Tex Ritter,75.3,2.4,2.3,1,NA,NA,NA,NA
Chris Douglas-Roberts,74.6,2.4,1.6,0.7,0.6,0.1,0,NA
