Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Rumeal Robinson,,2.4,1.9,1,0.5,-0.1,-0.6
David Wingate,85.1,2.4,1.9,1.4,0.2,0.1,-0.5
Hollis Thompson,81.0,2.6,2,1.2,0.7,NA,NA
Jordan Crawford,79.7,2.8,1.9,1.1,0.9,0.2,-0.6
Travis Diener,79.7,2.5,1.9,0.7,0.6,0,NA
Bo Lamar,79.0,2.5,1.5,1,0.5,NA,NA
James Robinson,78.2,2.3,1.9,1.2,0.2,0.2,-0.1
Johnny McCarthy,77.3,2.6,1.9,0.5,0.2,-0.1,-0.4
Tim Frazier,77.1,2.4,2,1.4,1,-0.1,NA
Tom Garrick,75.8,2.5,1.8,1.4,0.2,NA,NA
Tex Ritter,75.3,2.4,2.3,1,NA,NA,NA
