Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Reggie Lewis,,9.1,8.3,7.5,6.9,6.7,0.4,NA,NA,NA,NA
Phil Chenier,86.3,8.8,8.8,7.4,5.8,5.5,1.8,1.4,0,0,-0.1
Doug Collins,82.8,10,7.7,7.6,6.2,4.2,1.9,0.7,-0.3,NA,NA
Kerry Kittles,81.8,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,NA,NA
Ray Williams,80.7,8.2,7.9,7.2,6.2,3.9,1,1,0.9,0.4,0.4
Glen Combs,76.6,8.7,8.6,6.7,5.1,2.7,2.5,0,NA,NA,NA
Darel Carrier,76.5,8.7,8,7.8,4.9,0.9,0.2,NA,NA,NA,NA
Bob Davies,74.6,8.6,7.7,7.7,7.4,6.9,6.3,5.2,NA,NA,NA
Kemba Walker,74.6,9.9,8.6,8.1,7.4,5.1,4.8,4.5,0.3,NA,NA
Klay Thompson,74.5,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA
Ty Lawson,74.3,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA
