Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Guy Sparrow,,1.2,-0.2,-0.9
Howie Jolliff,-10.6,1.2,-0.2,-0.3
Mike Maloy,-19.4,1.3,-0.1,-0.3
Art Long,-21.9,1.4,-0.1,-0.3
Georges Niang,-23.8,1.3,0,-0.3
John Rudometkin,-27.6,1.6,-0.1,-0.5
Žarko Čabarkapa,-32.6,1.3,0.3,-0.4
Gene Stump,-32.8,2.1,-0.2,-0.8
LeRon Ellis,-36.5,1.6,-0.1,-0.2
Jeffery Taylor,-38.4,1.2,0.3,-0.2
Damjan Rudež,-43.0,1.3,0.1,0.1
