Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Nelson Bobb,,2,1.8,1.2,1.1
Ledell Eackles,94.0,2.1,2,1.2,1
Dion Waiters,93.1,2.1,1.6,1.1,0.9
Dave Wohl,91.1,2.1,1.7,1.4,1
John Salmons,86.7,2.1,1.7,1.4,0.6
Todd Lichti,85.8,1.8,1.3,1.2,1
Rex Walters,84.4,1.6,1.6,1.2,0.9
Claude Terry,84.2,2.4,1.8,1,0.8
Lloyd Walton,84.1,1.9,1.1,1.1,1.1
Dell Curry,83.9,2,1.8,0.9,0.5
Mike Bratz,82.6,2.1,1.7,1.5,0.4
