Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Nelson Bobb,,2,1.8,1.2,1.1,NA,NA,NA
Dave Wohl,86.0,2.1,1.7,1.4,1,0.2,0,-0.2
Tim Frazier,85.1,2.4,2,1.4,1,-0.1,NA,NA
Joe Hassett,83.5,2,1.6,1.4,0.9,0.5,0,NA
Lloyd Walton,82.8,1.9,1.1,1.1,1.1,0.1,NA,NA
Todd Lichti,82.4,1.8,1.3,1.2,1,0.2,NA,NA
Hollis Thompson,82.0,2.6,2,1.2,0.7,NA,NA,NA
Juan Dixon,80.5,2,1.7,1.4,1.2,0.4,0.1,-0.5
Brian Roberts,79.4,2.2,2.2,1.8,1,0.2,NA,NA
Claude Terry,78.0,2.4,1.8,1,1,0.8,0,NA
Med Park,76.4,1.9,1.9,1.8,1.6,0.4,NA,NA
