Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1962-63,22,LAL,NBA,C,80,1628,11.4,0.466,0.381,NA,NA,NA,NA,NA,NA,NA,0.4,1.9,2.3,0.067,NA,NA,NA,NA,NA
1963-64,23,LAL,NBA,C,78,1459,12.1,0.467,0.359,NA,NA,NA,NA,NA,NA,NA,0.6,1,1.6,0.053,NA,NA,NA,NA,NA
1964-65,24,LAL,NBA,C,80,2026,14.2,0.497,0.406,NA,NA,NA,3.4,NA,NA,NA,2.5,1.3,3.8,0.09,NA,NA,NA,NA,NA
1965-66,25,LAL,NBA,C,80,2219,13,0.467,0.276,NA,NA,NA,4.4,NA,NA,NA,0.9,1.9,2.8,0.062,NA,NA,NA,NA,NA
1966-67,26,BAL,NBA,C,81,2938,13.6,0.466,0.245,NA,NA,NA,7.5,NA,NA,NA,0.7,2.5,3.2,0.052,NA,NA,NA,NA,NA
1967-68,27,BAL,NBA,C,78,2719,13.7,0.522,0.358,NA,NA,NA,7.3,NA,NA,NA,3.2,3.3,6.4,0.114,NA,NA,NA,NA,NA
1968-69,28,BAL,NBA,C,80,1603,12.8,0.483,0.294,NA,NA,NA,5.6,NA,NA,NA,1,2.6,3.6,0.108,NA,NA,NA,NA,NA
1969-70,29,BAL,NBA,C,72,1163,13.3,0.51,0.28,NA,NA,NA,4.9,NA,NA,NA,0.9,1.6,2.5,0.105,NA,NA,NA,NA,NA
1970-71,30,POR,NBA,C,74,2581,15.6,0.487,0.238,NA,NA,15.3,12.1,NA,NA,NA,1.7,3,4.7,0.087,NA,NA,NA,NA,NA
1971-72,31,LAL,NBA,C,74,1081,10.9,0.5,0.317,NA,NA,12.7,4.9,NA,NA,NA,0.6,1.6,2.3,0.102,NA,NA,NA,NA,NA
1972-73,32,TOT,NBA,PF-C,79,2600,13.1,0.467,0.166,NA,NA,13.3,7.5,NA,NA,NA,0.4,1.6,2.1,0.038,NA,NA,NA,NA,NA
1972-73,32,LAL,NBA,C,10,156,3.4,0.308,0.125,NA,NA,9.6,2.2,NA,NA,NA,-0.4,0.2,-0.2,-0.061,NA,NA,NA,NA,NA
1972-73,32,PHI,NBA,PF,69,2444,13.8,0.474,0.168,NA,NA,13.6,7.8,NA,NA,NA,0.8,1.5,2.3,0.044,NA,NA,NA,NA,NA
1973-74,33,PHI,NBA,C,81,2831,13.2,0.494,0.271,9.5,21.2,15.1,9.2,1.3,1.6,NA,2.5,3.4,5.8,0.099,NA,-0.1,0.5,0.4,1.7
1974-75,34,PHI,NBA,PF,82,2183,12.3,0.485,0.159,9,18.1,13.5,7.6,0.9,1.3,NA,2.1,2.2,4.3,0.094,NA,-0.2,0,-0.2,1
1975-76,35,PHI,NBA,C,29,489,10.9,0.482,0.212,9.3,14.8,12.1,5.7,1.5,0.9,NA,0.3,0.5,0.9,0.085,NA,-1.3,0,-1.3,0.1
Career,NA,,NBA,,1048,27520,13.2,0.484,0.277,9.3,19.4,14.1,7.1,1.2,1.4,NA,17.7,28.6,46.3,0.081,NA,-0.3,0.3,0,2.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,LAL,NBA,,402,8569,12.4,0.476,0.341,NA,NA,12.3,4.1,NA,NA,NA,4.6,8.1,12.6,0.071,NA,NA,NA,NA,NA
4 seasons,NA,BAL,NBA,,311,8423,13.4,0.491,0.29,NA,NA,NA,6.7,NA,NA,NA,5.8,10,15.8,0.09,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,261,7947,13,0.483,0.199,9.3,19.4,14,8.1,1.2,1.4,NA,5.7,7.5,13.2,0.08,NA,-0.3,0.3,0,2.8
1 season,NA,POR,NBA,,74,2581,15.6,0.487,0.238,NA,NA,15.3,12.1,NA,NA,NA,1.7,3,4.7,0.087,NA,NA,NA,NA,NA
