Thru 14 Years,Thru 14 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Leroy Ellis,,6.4,5.8,4.7,4.3,3.8,3.6,3.2,2.8,2.5,2.3,2.3,2.1,1.6,0.9
Olden Polynice,89.9,6.7,5.3,5.2,5.1,4.5,3.3,3.2,2.6,2.5,2,2,1.6,1.5,1.5
Zaza Pachulia,88.6,6,5,4.8,4.7,4.2,3.9,3.9,3.1,2.9,2.7,2.7,1.7,1.1,0.3
Channing Frye,87.4,6.4,5.3,4.7,3.7,3.7,3.5,3.2,3,2.1,1.5,0.9,0.8,0.1,NA
Chris Andersen,84.6,6,5.9,5.4,4.5,3.6,3.2,2.7,2.4,1.9,1.3,1.3,1.1,0.3,0
Shawn Bradley,84.5,7.4,6.3,5.1,4.2,3.5,3,3,2.9,2.3,2.3,1.9,-1.1,NA,NA
Rick Mahorn,83.6,6.2,5.9,5.9,5.3,4.8,4.6,4.4,3.6,2.5,2.3,1.8,1.3,1.2,0.5
Brendan Haywood,82.9,6.8,6.7,5.2,5,3.9,3.8,3.4,3.1,2.9,2.7,0.2,0.1,0,NA
Rasho Nesterović,82.2,7.2,5.2,4.2,4.1,4.1,3.9,3.7,3,2.2,1.5,0.8,0,NA,NA
Tony Battie,81.9,6.2,5.8,3.8,3.8,3.3,2.8,2.7,2.3,2.3,2,0.6,0.5,0.5,0
Theo Ratliff,81.4,6.7,5.6,5.4,5.2,5.2,4,3.9,3.8,2.3,2,1.4,0.8,0.1,0
