Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Brooks Thompson,,1.1,0.6,0.2,0.1
Craig Ehlo,85.1,1.2,0.5,0.2,0
Phil Rollins,84.5,1.1,0.7,0.1,NA
Ronnie Price,83.7,1.1,0.4,0.1,0.1
Vonteego Cummings,82.8,1.3,0.6,0.2,NA
Nate Hawthorne,81.6,1.1,0.5,0.1,NA
Salim Stoudamire,81.3,1.2,0.8,0.3,NA
Reggie Bullock,79.6,1.2,1,0.2,0.1
Mitchell Butler,79.1,1.1,0.6,0.3,-0.2
Bryan Warrick,77.9,1,0.5,0.1,0
Jimmer Fredette,77.5,1.1,0.8,0.3,0.2
