Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Brooks Thompson,,1.1,0.6,0.2,0.1,NA,NA,NA
Phil Rollins,84.5,1.1,0.7,0.1,NA,NA,NA,NA
Vonteego Cummings,82.8,1.3,0.6,0.2,NA,NA,NA,NA
Nate Hawthorne,81.6,1.1,0.5,0.1,NA,NA,NA,NA
Salim Stoudamire,81.3,1.2,0.8,0.3,NA,NA,NA,NA
Bryan Warrick,77.9,1,0.5,0.1,0,NA,NA,NA
Mike D'Antoni,77.4,1,0.8,0.3,0,NA,NA,NA
Tarence Kinsey,75.3,0.9,0.6,0,NA,NA,NA,NA
Nick Jones,74.7,1.3,0.7,0.2,0,-0.2,NA,NA
Kris Dunn,74.4,0.9,0.6,0.1,NA,NA,NA,NA
Eddie Gill,72.6,1.1,0.3,0.2,0.1,0.1,0.1,0
