Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Paul Long,,0.5,0.3,0.2,-0.2
Corey Gaines,80.0,0.6,0.3,0.2,-0.1
Jermaine Jackson,70.5,0.6,0.2,0.2,-0.2
Pete Myers,68.0,0.5,0.3,0,-0.1
Jordan McRae,67.9,0.5,0.4,0.2,NA
Darrin Hancock,66.6,0.5,0.4,0.2,NA
Terry Duerod,65.4,0.7,0.2,0.2,-0.2
Kennard Winchester,62.5,0.5,0.4,0.3,NA
Delaney Rudd,60.2,0.6,0.3,0.1,-0.3
K.J. McDaniels,56.6,0.6,0.5,0.2,NA
Laron Profit,55.7,0.4,0.3,0.3,-0.3
