,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,DET,NBA,,5,,,,,,4,4,,,,,,,14
1968-69,24,KEN,ABA,,4,,0,,,,4,5,,,,,,,10
1969-70,25,DET,NBA,,6,,,,,,6,8,,,,,,,16
1970-71,26,BUF,NBA,,8,,,,,,5,7,,,,,,,19
Career,,,TOT,,8,,,,,,6,8,,,,,,,19
,,,NBA,,8,,,,,,6,8,,,,,,,19
,,,ABA,,4,,0,,,,4,5,,,,,,,10
,,,,,,,,,,,,,,,,,,,
2 Seasons,,DET,NBA,,6,,,,,,6,8,,,,,,,16
1 Season,,BUF,NBA,,8,,,,,,5,7,,,,,,,19
1 Season,,KEN,ABA,,4,,0,,,,4,5,,,,,,,10
