Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Paul Long,,0.5,0.3,0.2,-0.2,NA
Jordan McRae,67.9,0.5,0.4,0.2,NA,NA
Darrin Hancock,66.6,0.5,0.4,0.2,NA,NA
Terry Duerod,65.4,0.7,0.2,0.2,-0.2,NA
Kennard Winchester,62.5,0.5,0.4,0.3,NA,NA
Corey Gaines,60.6,0.6,0.3,0.2,0.1,-0.1
Delaney Rudd,60.2,0.6,0.3,0.1,-0.3,NA
Gus Bailey,57.8,0.5,0.2,0.2,0,0
K.J. McDaniels,56.6,0.6,0.5,0.2,NA,NA
Laron Profit,55.7,0.4,0.3,0.3,-0.3,NA
Julyan Stone,52.6,0.4,0.3,0.2,0.1,NA
