Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,,OWS,DWS,WS,WS/48
1967-68,23,DET,NBA,SG,16,93,16.6,0.495,NA,0.294,NA,NA,NA,18.4,NA,NA,NA,0.1,0.1,0.2,0.095
1968-69,24,KEN,ABA,SG,9,82,-0.7,0.355,0,0.525,NA,NA,4.8,19.9,23.3,29,NA,-0.3,0.1,-0.2,-0.102
1969-70,25,DET,NBA,SG,25,130,16.9,0.527,NA,0.613,NA,NA,NA,19.2,NA,NA,NA,0.2,0.1,0.3,0.11
1970-71,26,BUF,NBA,SG,30,213,18.4,0.513,NA,0.2,NA,NA,6.6,19.7,NA,NA,NA,0.4,0.1,0.5,0.118
Career,NA,,TOT,,80,518,14.7,0.489,0,0.359,NA,NA,6.1,19.4,23.3,29,NA,0.5,0.4,0.8,0.077
,NA,,NBA,,71,436,17.5,0.513,NA,0.33,NA,NA,6.6,19.2,NA,NA,NA,0.8,0.3,1,0.111
,NA,,ABA,,9,82,-0.7,0.355,0,0.525,NA,NA,4.8,19.9,23.3,29,NA,-0.3,0.1,-0.2,-0.102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,41,223,16.8,0.513,NA,0.469,NA,NA,NA,18.8,NA,NA,NA,0.4,0.1,0.5,0.104
1 season,NA,BUF,NBA,,30,213,18.4,0.513,NA,0.2,NA,NA,6.6,19.7,NA,NA,NA,0.4,0.1,0.5,0.118
1 season,NA,KEN,ABA,,9,82,-0.7,0.355,0,0.525,NA,NA,4.8,19.9,23.3,29,NA,-0.3,0.1,-0.2,-0.102
