Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,23,DET,NBA,SG,16,NA,93,8.9,19.7,0.451,NA,NA,NA,8.9,19.7,0.451,4.3,5.8,0.733,NA,NA,5.8,4.6,NA,5,22.1
1968-69,24,KEN,ABA,SG,9,NA,82,4,17.6,0.225,0,0,NA,4,17.6,0.225,7.5,9.2,0.81,2.2,1.8,4,5.3,6.6,9.2,15.4
1969-70,25,DET,NBA,SG,25,NA,130,7.8,17.2,0.452,NA,NA,NA,7.8,17.2,0.452,7.5,10.5,0.711,NA,NA,3,4.7,NA,6.1,23
1970-71,26,BUF,NBA,SG,30,NA,213,9.6,20.3,0.475,NA,NA,NA,9.6,20.3,0.475,3.4,4.1,0.833,NA,NA,5.2,4.2,NA,3.9,22.6
Career,NA,,TOT,,80,NA,518,8.1,19,0.429,0,0,NA,8.1,19,0.429,5.2,6.8,0.765,2.2,1.8,4.6,4.6,6.6,5.5,21.5
,NA,,NBA,,71,NA,436,8.9,19.2,0.464,NA,NA,NA,8.9,19.2,0.464,4.8,6.4,0.753,NA,NA,4.7,4.5,NA,4.8,22.6
,NA,,ABA,,9,NA,82,4,17.6,0.225,0,0,NA,4,17.6,0.225,7.5,9.2,0.81,2.2,1.8,4,5.3,6.6,9.2,15.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,DET,NBA,,41,NA,223,8.2,18.2,0.451,NA,NA,NA,8.2,18.2,0.451,6.1,8.6,0.717,NA,NA,4.2,4.7,NA,5.7,22.6
1 season,NA,BUF,NBA,,30,NA,213,9.6,20.3,0.475,NA,NA,NA,9.6,20.3,0.475,3.4,4.1,0.833,NA,NA,5.2,4.2,NA,3.9,22.6
1 season,NA,KEN,ABA,,9,NA,82,4,17.6,0.225,0,0,NA,4,17.6,0.225,7.5,9.2,0.81,2.2,1.8,4,5.3,6.6,9.2,15.4
