Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Eddie Lee Wilkins,,0.8,0.8,0.5,0.3,0.3,-0.1
Loren Woods,73.4,1.1,0.7,0.5,0.4,0.4,0.1
Mark Hendrickson,70.2,0.9,0.8,0.3,0.1,NA,NA
Josh Powell,69.7,1.1,0.7,0.6,0.3,0,-0.2
Ray Tolbert,69.2,1.1,0.8,0.7,0.3,0,NA
Randy White,67.0,0.8,0.7,0.4,0.2,-0.2,NA
Greg Foster,65.3,1,0.6,0.6,0.5,0.2,0
James Michael McAdoo,63.8,1.1,0.8,0.5,0,NA,NA
Bo Ellis,62.1,1.1,0.9,0.5,NA,NA,NA
Bill Hosket,61.9,1,1,0.6,0.5,NA,NA
Chris Crawford,61.4,1.3,0.9,0.6,0.6,0.2,0.1
