Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Eddie Lee Wilkins,,0.8,0.8,0.5,0.3,0.3,-0.1,NA,NA
Loren Woods,73.4,1.1,0.7,0.5,0.4,0.4,0.1,NA,NA
Mark Hendrickson,70.2,0.9,0.8,0.3,0.1,NA,NA,NA,NA
Ray Tolbert,69.2,1.1,0.8,0.7,0.3,0,NA,NA,NA
Randy White,67.0,0.8,0.7,0.4,0.2,-0.2,NA,NA,NA
Josh Powell,63.9,1.1,0.7,0.6,0.3,0,0,-0.2,NA
James Michael McAdoo,63.8,1.1,0.8,0.5,0,NA,NA,NA,NA
Bo Ellis,62.1,1.1,0.9,0.5,NA,NA,NA,NA,NA
Bill Hosket,61.9,1,1,0.6,0.5,NA,NA,NA,NA
Hank McDowell,60.1,0.7,0.4,0.4,0.2,0.2,0.1,NA,NA
Shavlik Randolph,59.7,1.1,0.7,0.4,0.1,0,0,0,0
