Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Ty Lawson,,7.4,7,6.9,6.7,6.3,3.7,3.2,0.9,NA,NA,NA,NA,NA,NA
Pete Maravich,89.9,7.6,7.6,7.1,6.4,6.2,4.2,3.9,2.9,0.5,0.1,NA,NA,NA,NA
Klay Thompson,85.5,8.8,8,7.1,6.7,5.3,4.9,4.3,1.7,NA,NA,NA,NA,NA,NA
Kerry Kittles,85.0,8.4,7.7,7.7,7.6,6.9,4.7,1.8,0.2,NA,NA,NA,NA,NA,NA
Jerry Sloan,84.7,7.2,7,6.8,6.5,6.4,6,2.9,2.6,1.9,1.4,0.9,NA,NA,NA
Michael Adams,84.5,8.3,7.5,6.9,6.3,5.3,4.6,3.1,2.7,1.6,0.8,-0.1,NA,NA,NA
Charlie Scott,84.2,7.4,7.2,6.5,6.4,4.7,3.9,2.5,2.4,1.9,-1.4,NA,NA,NA,NA
B.J. Armstrong,83.3,8.1,7.5,7.5,7,4.6,4.1,2.2,1.7,1.3,0.7,0.4,NA,NA,NA
Eric Bledsoe,83.0,8.2,7,5.6,5.3,4.1,3.7,2.5,0.3,0.2,NA,NA,NA,NA,NA
Brian Taylor,82.3,8.3,7.9,7.1,5.6,5.3,4.8,3.6,2.3,1.8,0.1,NA,NA,NA,NA
Rickey Green,82.0,7.9,6.7,6.6,5.7,5.6,5.2,3.3,1.8,1.8,1.2,0.7,0.5,0.3,-0.1
