Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Tyler Ennis,,0.8,0.4,0.4,-0.3,NA,NA
Chris Corchiani,72.6,0.9,0.4,0.3,NA,NA,NA
Acie Law,66.6,0.7,0.6,0.4,-0.1,NA,NA
Yakhouba Diawara,64.1,0.7,0.5,0.5,-0.1,NA,NA
Gerald Glass,61.6,0.9,0.5,0.3,0.1,NA,NA
JaKarr Sampson,58.0,0.8,0.6,0.5,0.1,NA,NA
Shawn Respert,54.6,0.8,0.7,0.5,0.1,NA,NA
Pearl Washington,52.3,0.7,0.7,0.5,NA,NA,NA
Kelvin Upshaw,50.8,1,0.3,0.3,NA,NA,NA
Pace Mannion,48.9,0.9,0.4,0.3,0.2,0,-0.2
Ray McCallum,46.8,1.4,0.4,0.3,NA,NA,NA
