Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tyler Ennis,,0.8,0.4,0.4,-0.3
Chris Corchiani,72.6,0.9,0.4,0.3,NA
Sebastian Telfair,69.9,0.7,0.6,0.5,-0.4
Pace Mannion,69.6,0.9,0.4,0.2,-0.2
Mike Wilks,67.5,0.7,0.6,0.5,-0.3
Acie Law,66.6,0.7,0.6,0.4,-0.1
Garrett Temple,66.4,1.2,0.4,0.3,-0.4
Kevin McKenna,65.5,0.9,0.7,0.6,-0.3
Dahntay Jones,65.3,0.9,0.7,0.6,-0.4
Yakhouba Diawara,64.1,0.7,0.5,0.5,-0.1
Jim Farmer,62.2,0.7,0.4,0.1,-0.4
