Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Tom Heinsohn,,9.3,7.7,7.1,6.8,6.6,6.5,6.2,6,3.6
Carmelo Anthony,91.4,9.4,8.2,7.9,7.9,7.3,6.2,6.1,5,4.9
Dale Davis,90.9,7.1,7.1,7,6.9,6.8,6.7,6.2,4.5,3.4
Sam Perkins,90.2,8.1,8,7.5,7.4,7.3,6.9,6.7,6.4,5.8
Paul Millsap,89.8,8.3,7.8,7.7,7.7,7.6,7.2,6.7,5.2,4.7
Dan Roundfield,89.4,9.1,8.7,7.4,7.1,7,6.9,6.5,3.9,1.3
Jamaal Wilkes,89.2,10,8.5,8.3,7.7,7.4,7.3,6.9,5.1,3.3
P.J. Brown,88.8,8.2,8,7.5,7.5,6.9,5.3,5.1,4.6,4.2
Hot Rod Williams,88.5,9.2,8.7,7.7,7.5,7.4,5.7,5.3,4.5,2.4
Shane Battier,88.3,9.1,9,8.2,7.8,6.2,5.9,5.2,4.8,4.3
Serge Ibaka,88.3,9.6,9.4,7.6,6.2,5.6,5.5,5.1,5.1,3.7
