Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1956-57,22,BOS,NBA,PF,10,NA,370,8.8,22.5,0.39,4.8,6.7,0.71,11.4,1.9,3.9,22.3
1957-58,23,BOS,NBA,PF,11,NA,349,7,20,0.351,5.8,7.4,0.778,12.3,1.9,5.4,19.8
1958-59,24,BOS,NBA,PF,11,NA,348,9.4,22.8,0.414,3.8,5.8,0.661,10.1,3.3,4.2,22.7
1959-60,25,BOS,NBA,PF,13,NA,423,9.5,22.7,0.419,5.1,6.8,0.75,10.7,2.3,4.5,24.2
1960-61,26,BOS,NBA,PF,10,NA,291,10.1,24.9,0.408,4.1,5.3,0.767,12.2,2.5,4.5,24.4
1961-62,27,BOS,NBA,PF,14,NA,445,9.4,23.5,0.399,4.7,6.1,0.763,9.3,2.8,4.7,23.5
1962-63,28,BOS,NBA,PF,13,NA,413,10.7,23.5,0.456,6.5,8.5,0.765,10.1,1.3,4.8,28
1963-64,29,BOS,NBA,PF,10,NA,308,8.2,21,0.389,4,4.9,0.81,9.4,3,4.2,20.3
1964-65,30,BOS,NBA,SF,12,NA,276,8.6,23.6,0.365,2.6,4.2,0.625,11,3,6,19.8
Career,NA,,NBA,,104,NA,3223,9.1,22.7,0.402,4.7,6.3,0.743,10.7,2.4,4.7,23
