Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Dick Schnittker,,6.2,5.3,3.5,2.8,2.6,1.6
Clyde Lee,93.8,6.1,5.1,3.5,3.1,2.2,2.1
Bill Robinzine,92.2,6.9,5.5,3.4,3,2.4,2.3
Gerald Govan,90.0,5.6,5.4,4.1,2.6,2.5,2.4
Bob Boozer,89.8,5.8,5.3,3.9,3.9,2.8,1.4
Rick Fox,89.8,5.2,5.1,3.2,2.8,2.3,2.1
Billy Owens,89.8,5.7,5.6,3.2,3.2,2.8,2.2
Don Nelson,89.6,6.1,5.4,3.3,2.3,2.1,0.4
Juwan Howard,88.8,7,5.6,4.6,2.8,2.8,1.9
Adam Keefe,88.7,6.5,4.6,4.1,3.3,2.3,1.4
Andrés Nocioni,88.7,6.7,4.1,3.3,2.8,2.5,1.3
