Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dick Schnittker,,6.2,5.3,3.5,2.8,2.6,1.6,NA,NA,NA
Bill Robinzine,91.5,6.9,5.5,3.4,3,2.4,2.3,-0.2,NA,NA
Buck Johnson,87.8,6.2,4.6,3.6,2.3,2.1,1.2,0.7,NA,NA
Bison Dele,86.5,6.9,4.7,4,2.4,2.3,1.8,0.3,0.2,NA
Andrés Nocioni,83.9,6.7,4.1,3.3,2.8,2.5,1.3,1.3,-0.2,NA
Greg Smith,83.8,6.8,5.5,4.5,2.7,1.9,0.6,0.4,0,NA
Michael Kidd-Gilchrist,83.5,5.8,3.8,3.3,3.1,2.5,2.1,0.6,NA,NA
George Carter,82.7,6.4,4.4,4.2,4.1,2.9,2.2,0.2,0,NA
Adam Keefe,81.9,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4
Ronald Franz,81.2,5.9,3.7,3.3,2.2,2.1,0.9,NA,NA,NA
Markieff Morris,80.7,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA
