Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Nik Stauskas,,1.4,1.1,0.5,0.5,0.3,NA
Isaiah Canaan,81.7,1.4,1.4,0.6,0.5,0.2,0.1
John Warren,78.4,1.7,0.9,0.8,0.5,0.3,NA
Steve Alford,78.0,1.4,0.9,0.6,0.3,NA,NA
Brook Steppe,75.3,1.3,1.1,1,0.7,0.6,NA
MarShon Brooks,73.9,1.3,0.8,0.7,0.4,0.1,NA
Troy Daniels,73.5,1.4,1.3,1.1,0.3,0.2,0.2
Jordan Hamilton,70.8,1.6,0.8,0.3,0.2,0.1,NA
Sidney Lowe,70.8,1.7,1.5,0.5,0.3,NA,NA
Reggie Jordan,70.7,1.2,0.8,0.6,0.4,0.3,-0.2
Kevin McKenna,70.1,1.7,0.9,0.7,0.6,0.5,-0.3
