Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Nik Stauskas,,1.4,1.1,0.5,0.5,0.3
Isaiah Canaan,83.5,1.4,1.4,0.6,0.5,0.2
John Wetzel,79.5,2,1.1,0.7,0.5,0.5
John Warren,78.4,1.7,0.9,0.8,0.5,0.3
Steve Alford,78.0,1.4,0.9,0.6,0.3,NA
Howard Komives,76.8,1.5,1.4,1,0.7,0.3
Michael Carter-Williams,76.6,1.3,1.2,0.9,0.8,0.2
Eddie House,75.7,1.8,0.9,0.7,0.7,0.4
Reggie Jordan,75.4,1.2,0.8,0.6,0.4,0.3
Brook Steppe,75.3,1.3,1.1,1,0.7,0.6
MarShon Brooks,73.9,1.3,0.8,0.7,0.4,0.1
