Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Lance Thomas,,1.7,1.2,1.2,0.9,0.9,0.1,-0.1,-0.4
Darvin Ham,86.1,1.7,1.2,0.9,0.9,0.9,0.3,0.1,-0.4
Major Jones,77.2,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA
Brian Scalabrine,76.7,1.7,1.4,1.1,1,0.9,0.6,0.3,-0.1
Larry Staverman,73.4,1.6,1.6,1.4,1.2,1.1,NA,NA,NA
Joe Ellis,72.9,1.3,1.3,1.1,1,0.5,0.4,-0.2,-0.3
Michael Ruffin,72.5,1.9,1.7,1.2,1,0.6,0.2,0,0
John Wallace,72.1,1.6,1.5,1,1,0.7,0.3,0.3,NA
Charles Davis,71.6,2.1,1.5,1,0.9,0.5,0.3,-0.2,-0.3
Luke Babbitt,69.4,1.8,1.6,1.1,0.9,0.7,0.7,0.7,-0.4
Henry Walker,67.6,1.9,1.1,0.9,0.5,0.5,NA,NA,NA
