Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Ariel Maughan,,1.5,1.2,1.1,1,-0.5
Darvin Ham,78.3,1.7,1.2,0.9,0.9,0.1
John Wallace,76.5,1.6,1.5,1,1,0.3
Major Jones,76.3,1.3,1.3,1.2,0.9,0.1
Marc Iavaroni,72.5,1.5,1.4,1.1,1,0.7
Thomas Robinson,71.8,1.6,1.5,0.9,0.6,-0.1
Jeff Turner,70.1,1.2,1.2,0.8,0.6,-0.2
Cliff Meely,68.8,1.8,1.2,1,0.4,0.2
Luke Babbitt,68.7,1.6,0.7,0.7,0.7,-0.4
Gary Gregor,67.2,1.4,1.1,0.5,0.5,-0.4
Bob Brannum,67.0,2,1.6,1.1,0.8,0
