Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Ariel Maughan,,1.5,1.2,1.1,1,-0.5,NA,NA,NA
Jerry Chambers,80.4,1.5,1.4,1.3,1.1,0,0,NA,NA
Thomas Robinson,71.8,1.6,1.5,0.9,0.6,-0.1,NA,NA,NA
Cliff Meely,68.8,1.8,1.2,1,0.4,0.2,NA,NA,NA
Bob Brannum,67.0,2,1.6,1.1,0.8,0,NA,NA,NA
Rodney Carney,65.8,1.6,1.5,1.5,1.3,0.3,NA,NA,NA
Major Jones,65.5,1.3,1.3,1.2,0.9,0.7,0.1,NA,NA
Al Thornton,65.2,2.2,1.6,1.3,1.1,NA,NA,NA,NA
Tony Brown,65.1,1.8,1.3,0.9,0.5,0.2,0.2,0,NA
Anthony Miller,64.0,1.2,1.2,0.8,0.6,0,0,0,-0.1
Bob Portman,63.3,1.9,1.2,0.8,0.5,NA,NA,NA,NA
