,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1949-50,24,CHS,NBA,,8,,7,8,,,,20
1950-51,25,TOT,NBA,,7,,6,,,,,15
1950-51,25,WSC,NBA,,7,,6,,,,,15
1950-51,25,BOS,NBA,,5,,4,4,,,,12
1951-52,26,BLB,NBA,,9,,10,11,,,,23
1952-53,27,TOT,NBA,,6,,5,6,,,6,14
1952-53,27,BLB,NBA,,6,,5,6,,,6,14
1952-53,27,PHW,NBA,,5,,3,5,,,6,12
Career,,,,,9,,10,,,,,23
2 Seasons,,BLB,NBA,,9,,10,11,,,,23
1 Season,,CHS,NBA,,8,,7,8,,,,20
1 Season,,WSC,NBA,,7,,6,,,,,15
1 Season,,BOS,NBA,,5,,4,4,,,,12
1 Season,,PHW,NBA,,5,,3,5,,,6,12
