Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Frank Kudelka,,2.4,1.7,-0.4,NA
Andrew Anderson,94.2,2.3,1.7,-0.5,NA
Darrell Armstrong,82.9,2.5,1.8,0.1,0.1
Kenny Rollins,78.7,2.6,1.5,0.1,NA
Kevin Edwards,78.1,2.4,1.6,0.3,-0.2
Bob Weiss,76.0,2.9,1.7,0.1,0
Fred Hoiberg,73.1,2.3,2.1,0.2,0
Steve Bracey,71.0,2.1,1.5,0.3,NA
Fred LaCour,70.9,1.7,1.7,-0.1,NA
Maurice McHartley,70.2,2.4,1.8,0.8,NA
Rumeal Robinson,70.2,2.4,1.9,-0.1,-0.6
