Season,Team,Lg,Salary
2010-11,Cleveland Cavaliers,NBA,"$479,735"
2010-11,Washington Wizards,NBA,"$125,538"
2010-11,San Antonio Spurs,NBA,"$76,219"
2011-12,Cleveland Cavaliers,NBA,"$854,389"
2012-13,Cleveland Cavaliers,NBA,"$3,500,000"
2013-14,Cleveland Cavaliers,NBA,"$3,250,000"
2014-15,Portland Trail Blazers,NBA,"$1,063,384"
2015-16,New Orleans Pelicans,NBA,"$1,375,000"
2016-17,New Orleans Pelicans,NBA,"$1,400,000"
2016-17,Denver Nuggets,NBA,"$495,227"
Career,(may be incomplete),,"$12,619,492"
