Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Alonzo Gee,,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1,NA,NA,NA
Ledell Eackles,90.8,2.4,2.1,2,1.2,1,1,1,NA,NA,NA,NA
Mike Evans,84.3,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2,NA,NA
Dion Waiters,84.0,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA,NA,NA,NA
Mike Bratz,83.2,2.7,2.1,1.9,1.7,1.5,0.8,0.4,0.1,-0.1,NA,NA
Shelvin Mack,83.0,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5,NA,NA,NA
Si Green,82.7,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA,NA,NA
Al Bianchi,82.0,2.4,1.9,1.8,1.5,0.8,0.8,0.2,-0.1,-0.4,-0.6,NA
Elston Turner,79.8,2.3,2.1,1.4,1.3,1.2,0.3,0.1,-0.2,NA,NA,NA
John Crotty,79.6,2.4,2.2,2.1,1.9,1.3,1,0.8,0.3,0.1,0.1,-0.1
Trey Burke,79.2,2.4,2.4,2.1,1.9,0.9,0.5,NA,NA,NA,NA,NA
