,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2009-10,22,WAS,NBA,SG,11,182,,93%,7%,,,-2.4,+3.2,1,5,5,1,13,3,16,1,12
2010-11,23,TOT,NBA,SG,56,1118,1%,54%,44%,,,-11.8,-8.9,15,24,47,10,41,3,86,8,38
2010-11,23,SAS,NBA,SG,5,18,,,77%,23%,,-24.8,-31.5,0,1,2,1,0,0,0,0,1
2010-11,23,WAS,NBA,SG,11,127,1%,35%,65%,,,-19.9,-12.2,2,4,4,1,6,0,12,0,6
2010-11,23,CLE,NBA,SG,40,973,1%,58%,41%,,,-10.5,-1.3,13,19,41,8,35,3,74,8,31
2011-12,24,CLE,NBA,SG,63,1827,,49%,50%,1%,,-6.1,+3.1,31,48,72,14,104,4,271,26,57
2012-13,25,CLE,NBA,SF,82,2541,,15%,83%,2%,,-7.1,-5.3,53,46,85,19,90,8,303,13,78
2013-14,26,CLE,NBA,SF,65,1020,,6%,92%,2%,,-9.3,-7.9,21,13,45,8,26,1,107,3,16
2014-15,27,TOT,NBA,SF,54,662,,17%,72%,11%,1%,-6.7,-7.6,12,10,23,2,35,1,60,6,24
2014-15,27,DEN,NBA,SF,39,511,,21%,69%,10%,,-7.2,-3.9,9,7,19,2,30,1,45,5,16
2014-15,27,POR,NBA,SF,15,151,,4%,81%,12%,2%,-5.2,-9.8,3,3,4,0,5,0,15,1,8
2015-16,28,NOP,NBA,SF,73,1632,,14%,83%,3%,,-4.3,-0.6,17,21,73,9,29,8,174,8,23
2016-17,29,DEN,NBA,SF,13,89,,9%,90%,2%,,+1.4,+1.4,1,0,3,1,4,0,16,1,2
Career,,,NBA,,417,9071,,27%,70%,2%,,-7.0,-3.4,151,167,353,64,342,28,1033,66,250
,,,,,,,,,,,,,,,,,,,,,,
4 seasons,,CLE,NBA,,250,6361,,30%,68%,1%,,-7.7,-2.7,118,126,243,49,255,16,755,50,182
1 season,,NOP,NBA,,73,1632,,14%,83%,3%,,-4.3,-0.6,17,21,73,9,29,8,174,8,23
2 seasons,,DEN,NBA,,52,600,,19%,72%,9%,,-5.9,-3.1,10,7,22,3,34,1,61,6,18
2 seasons,,WAS,NBA,,22,309,,69%,31%,,,-9.6,-3.1,3,9,9,2,19,3,28,1,18
1 season,,POR,NBA,,15,151,,4%,81%,12%,2%,-5.2,-9.8,3,3,4,0,5,0,15,1,8
1 season,,SAS,NBA,,5,18,,,77%,23%,,-24.8,-31.5,0,1,2,1,0,0,0,0,1
