Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Alonzo Gee,,2.4,1.9,1.9,1.2,1,0.9,0.4,-0.1
John Crotty,94.8,2.4,2.1,1.9,1.3,1,0.8,0.3,-0.1
Ledell Eackles,90.8,2.4,2.1,2,1.2,1,1,1,NA
Randy Brown,86.3,2.4,1.9,1.8,1.6,1.5,1,0.4,0.3
Shaun Livingston,85.7,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Mike Bratz,84.5,2.7,2.1,1.9,1.7,1.5,0.8,0.4,-0.1
Al Bianchi,84.4,2.4,1.9,1.8,1.5,0.8,0.8,-0.1,-0.4
Dion Waiters,84.0,2.1,1.6,1.6,1.2,1.1,0.9,0.1,NA
Si Green,83.3,2.6,2.6,1.6,1,0.8,0.8,0.4,NA
Shelvin Mack,83.0,2.3,1.9,1.4,1.3,1.3,0.9,0.7,0.5
David Wingate,81.1,2.4,2.3,1.9,1.4,1,0.2,0.1,-0.5
