Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Tate George,,1.1,0.4,0,-0.1
Eddie Hughes,84.1,1,0.4,0,NA
Kyle Weaver,80.8,1.2,0.3,0,NA
Nate Hawthorne,79.5,1.1,0.5,0.1,NA
Willie Smith,78.8,1,0.3,0,0
Eddie Gill,77.2,1.1,0.3,0.1,0
Ronnie Price,75.9,1.1,0.4,0.1,0.1
Stan Pietkiewicz,73.9,1,0.6,0,NA
Bryan Warrick,73.0,1,0.5,0.1,0
Gerry Ward,72.8,1,0.4,-0.1,-0.2
Anthony Johnson,71.9,1.1,0.4,0.3,-0.2
