,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1975-76,22,SSL,ABA,,7,,0,,,,4,7,,,,,,,,,18
1976-77,23,TOT,NBA,,1,,,,,,2,5,,,4,1,,,,,3
1976-77,23,NYN,NBA,,0,2,,,,,2,5,,,3,0,,,,1,2
1976-77,23,IND,NBA,,1,,,,,,2,3,,,4,1,,,,,3
Career,,,TOT,,7,,,,,,4,7,,,,,,,,,18
,,,NBA,,1,,,,,,2,5,,,4,1,,,,,3
,,,ABA,,7,,0,,,,4,7,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,
1 Season,,SSL,ABA,,7,,0,,,,4,7,,,,,,,,,18
1 Season,,IND,NBA,,1,,,,,,2,3,,,4,1,,,,,3
1 Season,,NYN,NBA,,0,2,,,,,2,5,,,3,0,,,,1,2
