Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Austin Daye,,2.1,1.6,1.3,0.1,0,-0.6
Thon Maker,79.5,2,1.5,1.3,NA,NA,NA
Taurean Waller-Prince,77.2,2,1.5,1.1,NA,NA,NA
Terry Driscoll,75.8,1.7,1.7,1.5,0.3,0,NA
Johnny Baum,74.4,2,1.9,1.5,0.4,-0.1,NA
Cliff Pondexter,73.7,2.2,1.5,1,NA,NA,NA
Bob Brannum,73.4,2,1.6,1.1,0.8,0,NA
Russ Schoene,73.4,1.8,1.7,1.3,-0.2,NA,NA
James Hardy,71.1,2.5,1.8,1.3,0.7,NA,NA
Al Thornton,71.0,2.2,1.6,1.3,1.1,NA,NA
Donnell Harvey,70.4,2,1.8,0.7,0.2,0.1,NA
