Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Bob Netolicky,,8.3,8.2,7.5,7.4,5.6,4.9,4.1,2.1,0
Mickey Johnson,93.9,8.5,8.3,7.3,7.2,5.5,5.3,4.1,3.7,0.7
Wally Szczerbiak,91.5,8.7,8,7.4,7.3,6.2,5.2,2.9,1.6,1.6
Nick Anderson,91.4,8.3,7.7,7.6,7.4,5.3,4.2,3.6,3.1,1.8
David West,90.0,8.4,7.8,7.8,7.5,7.4,5.9,5.2,2.8,0.2
Scott Wedman,89.6,8.6,7.8,7.1,6,4.9,4.8,4.7,2.2,1.6
Derrick Favors,89.1,8.3,8,7.9,7.1,5.1,4.4,3,2.9,2.7
Troy Murphy,88.9,8.5,7.8,6.5,6.4,6.2,5.3,4.5,1.4,1.3
Clifford Robinson,88.6,8.7,8,7.5,7.1,6.8,6.6,4.6,4.2,0.3
Hedo Türkoğlu,88.3,9,7.6,7.3,6.7,5.2,4.9,3.4,2.8,2.6
Rodney McCray,88.1,9.4,8.5,7.9,7.6,6.3,5.3,4.6,2.9,2.5
