,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,25,INA,ABA,,11,,0,,,,5,8,,,,,,,,,27
1968-69,26,INA,ABA,,15,,0,,,,6,9,,,,,,,,,36
1969-70,27,INA,ABA,,14,,0,,,,7,11,,,,,,,,,32
1970-71,28,INA,ABA,,13,,0,,,,8,10,,,,,,,,,29
1971-72,29,INA,ABA,,10,,0,,,,7,12,,,,,,,,,27
1974-75,32,INA,ABA,,2,,0,,,,2,2,,,,,,,,,6
Career,,,,,15,,0,,,,8,12,,,,,,,,,36
